,Posted Date,Effective Date,Transaction Description,Transaction Code Description,Check Number,Debit Amount,Credit Amount
0,31 Dec 2020,31 Dec 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
1,31 Dec 2020,31 Dec 2020,CREDIT NOTE,df94b7a048930cb39f61b885b3b4f9cf,605041,0.0,530.0
2,30 Dec 2020,30 Dec 2020,C/A ATM/TB BILL PAYMENT DT,f1f009c83b019abbb3ea72ab1b728bd7,8576112,0.59,0.0
3,28 Dec 2020,28 Dec 2020,C/A ATM/TB TRANSFER CR,cc1f36f8edd8d54cd683e9eacb5a16e0,241151,0.0,300.0
4,28 Dec 2020,28 Dec 2020,C/A ATM/TB TRANSFER CR,ca3bccdf6f0f665d1fd71ff190c570a3,240928,0.0,985.0
5,24 Dec 2020,24 Dec 2020,DEBIT NOTE,45528e34c6cdc74f624cb9d02c31597e,10384,45.0,0.0
6,23 Dec 2020,23 Dec 2020,C/A ATM/TB TRANSFER CR,b044927356c8cbc102b581562cdfa6dc,18530,0.0,4300.0
7,22 Dec 2020,22 Dec 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,772697,0.56,0.0
8,22 Dec 2020,22 Dec 2020,DEBIT NOTE,a6d2bda7e320d577c3ce5429035aa32e,772697,2551.04,0.0
9,21 Dec 2020,21 Dec 2020,DEBIT NOTE,46aa03b78a8c4c684cbb920a39a3e19f, ,26.54,0.0
10,21 Dec 2020,21 Dec 2020,DEBIT NOTE,a84f5408767cfc8943bece76d62e77ed, ,10.06,0.0
11,21 Dec 2020,21 Dec 2020,DEBIT NOTE,def0d52af57b03eea3cfd0539be7fbeb,546139,3000.0,0.0
12,21 Dec 2020,21 Dec 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,612709,0.56,0.0
13,21 Dec 2020,21 Dec 2020,DEBIT NOTE,51ff23f33613917cff7c179f439d9d4b,612709,99.2,0.0
14,21 Dec 2020,21 Dec 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,609152,0.56,0.0
15,21 Dec 2020,21 Dec 2020,DEBIT NOTE,2b515fb411e98fcfc281d9585a8373f5,609152,186.0,0.0
16,18 Dec 2020,18 Dec 2020,CREDIT NOTE,c2e0b704509422bf2930e0d4ffe29227,544280,0.0,2165.45
17,14 Dec 2020,14 Dec 2020,CUSTOMER DEPOSIT,74553ae1c3b47f329822cf1358662622,1015754,0.0,65.0
18,11 Dec 2020,11 Dec 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,806520,1000.0,0.0
19,11 Dec 2020,11 Dec 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,738008,0.56,0.0
20,11 Dec 2020,11 Dec 2020,DEBIT NOTE,b28857f7b4ddc8d0a3ce4c8fee98eee7,738008,123.5,0.0
21,10 Dec 2020,10 Dec 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,722785,0.56,0.0
22,10 Dec 2020,10 Dec 2020,DEBIT NOTE,adb487acb6b86320f020dbcf7635a15d,722785,30.0,0.0
23,9 Dec 2020,9 Dec 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,563490,0.56,0.0
24,9 Dec 2020,9 Dec 2020,DEBIT NOTE,4f949842828fee0af16133cc5927e868,563490,11.0,0.0
25,7 Dec 2020,7 Dec 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,200079,0.56,0.0
26,7 Dec 2020,7 Dec 2020,DEBIT NOTE,71295423337be9d9ccf67b5ad2bdace9,200079,115.0,0.0
27,4 Dec 2020,4 Dec 2020,C/A ATM/TB TRANSFER CR,7d603a646de82e3aab9edec50cea9fcd,154189,0.0,1000.0
28,4 Dec 2020,4 Dec 2020,C/A ATM/TB TRANSFER CR,4fad7907265ebb7be1a6de3b481c7221,153876,0.0,1000.0
29,1 Dec 2020,1 Dec 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,706332,0.56,0.0
30,1 Dec 2020,1 Dec 2020,DEBIT NOTE,7d66b8c862890e3b2756bcd9cb0157e3,706332,998.4,0.0
31,30 Nov 2020,30 Nov 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
32,30 Nov 2020,30 Nov 2020,CUSTOMER DEPOSIT,b713a5fa4c9179dc0d6a865fd96daf6d,1111111,0.0,1454.0
33,26 Nov 2020,26 Nov 2020,CUSTOMER DEPOSIT,175c4da1203f6da15fa6ad6138b9c675,1111111,0.0,2290.0
34,26 Nov 2020,26 Nov 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,170020,0.56,0.0
35,26 Nov 2020,26 Nov 2020,DEBIT NOTE,4b1873a9b1f524cadb890d350a34d0c1,170020,2187.32,0.0
36,25 Nov 2020,25 Nov 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,168104,1690.0,0.0
37,25 Nov 2020,25 Nov 2020,DEBIT NOTE,c202a554bee90f877d4ffc4b63f669f3,900001,62.42,0.0
38,25 Nov 2020,25 Nov 2020,DEBIT NOTE,45528e34c6cdc74f624cb9d02c31597e,10384,45.0,0.0
39,23 Nov 2020,23 Nov 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,902626,0.56,0.0
40,23 Nov 2020,23 Nov 2020,DEBIT NOTE,98ab8bcbd4b5678967bf889b35276292,902626,400.0,0.0
41,23 Nov 2020,23 Nov 2020,CREDIT NOTE,2a449d46079b9e5e6a42f39310f20bde,860847,0.0,1977.15
42,23 Nov 2020,23 Nov 2020,CREDIT NOTE,0b3a73f750e391a6388290685d257567,854954,0.0,565.0
43,23 Nov 2020,23 Nov 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,815642,0.56,0.0
44,23 Nov 2020,23 Nov 2020,DEBIT NOTE,caa243216dfecac683f17271ef6ca7c6,815642,499.2,0.0
45,9 Nov 2020,9 Nov 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,613020,0.56,0.0
46,9 Nov 2020,9 Nov 2020,DEBIT NOTE,8deee21238cb14cd55d9b1d06eedf6dd,613020,176.0,0.0
47,5 Nov 2020,5 Nov 2020,CUSTOMER DEPOSIT,7f166c8ea2ef4cdf82f404f1624d38a1,828305,0.0,130.0
48,2 Nov 2020,2 Nov 2020,C/A ATM/TB TRANSFER CR,21145cb2972b167affd879044f6e6b89,8991,0.0,4300.0
49,2 Nov 2020,2 Nov 2020,CUSTOMER DEPOSIT,1a0d2581444def574d4603a3bdcf6f04,1111111,0.0,1500.0
50,30 Oct 2020,31 Oct 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
51,29 Oct 2020,29 Oct 2020,C/A ATM/TB BILL PAYMENT DT,ae3402e2cb1d5b1a3b33a269c9049170,8686378,1.17,0.0
52,29 Oct 2020,29 Oct 2020,C/A ATM/TB TRANSFER CR,33e24fbcc3e9d0c13134931cb8a473e0,695557,0.0,355.0
53,29 Oct 2020,29 Oct 2020,C/A ATM/TB TRANSFER CR,a9630674291ba03cc83b762cbcec4386,695304,0.0,150.0
54,29 Oct 2020,29 Oct 2020,CUSTOMER DEPOSIT,dc8c04ed312a6b6151ee02c18ed690f2,1111111,0.0,1454.0
55,29 Oct 2020,29 Oct 2020,CUSTOMER DEPOSIT,c34710d4e3c1da0c7dd53d26a22b0595,1111111,0.0,2290.0
56,28 Oct 2020,28 Oct 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,467106,0.56,0.0
57,28 Oct 2020,28 Oct 2020,DEBIT NOTE,d98f56186b00a8087ec7556d896d8882,467106,30.0,0.0
58,27 Oct 2020,27 Oct 2020,CREDIT NOTE,2c4eadd7617b536bdf39f6afcd7e01ad,388531,0.0,2071.3
59,27 Oct 2020,27 Oct 2020,C/A ATM/TB TRANSFER CR,c53b4981f36af2071e53c489c362b47e,319151,0.0,565.0
60,26 Oct 2020,26 Oct 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,242936,0.56,0.0
61,26 Oct 2020,26 Oct 2020,DEBIT NOTE,49debab1f5d2650e5acf2f63e38b4ae5,242936,2187.32,0.0
62,26 Oct 2020,26 Oct 2020,DEBIT NOTE,8e9516dbb7d2db02a8df29aedb3366c7,900001,39.31,0.0
63,21 Oct 2020,21 Oct 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,827129,0.56,0.0
64,21 Oct 2020,21 Oct 2020,DEBIT NOTE,799b7792d90e29bacc66441360e1728c,827129,550.0,0.0
65,14 Oct 2020,14 Oct 2020,C/A ATM/TB TRANSFER CR,0a2cdb1aabd2d6a46ab03e2085ce0cb2,215228,0.0,4301.17
66,12 Oct 2020,12 Oct 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,4367,0.56,0.0
67,12 Oct 2020,12 Oct 2020,DEBIT NOTE,cbf8b5e272be9ce267d3f91b2353da9a,4367,1325.0,0.0
68,12 Oct 2020,12 Oct 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,3226,0.56,0.0
69,12 Oct 2020,12 Oct 2020,DEBIT NOTE,63330e05e448d8e26b143b8de4fb008f,3226,3065.0,0.0
70,12 Oct 2020,12 Oct 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,2309,0.56,0.0
71,12 Oct 2020,12 Oct 2020,DEBIT NOTE,8d40d34180ea34f66e4d9a261bfb52da,2309,100.0,0.0
72,7 Oct 2020,7 Oct 2020,CREDIT MEMO,1c47390484836148de3ddfeec5e0b303,417104,0.0,200.0
73,5 Oct 2020,5 Oct 2020,C/A ATM/TB TRANSFER CR,177f1455c00e13737326c7f8179ffe87,463082,0.0,2000.0
74,5 Oct 2020,5 Oct 2020,C/A ATM/TB TRANSFER CR,e96f6b173614877031549960afca9f50,336320,0.0,94.0
75,5 Oct 2020,5 Oct 2020,DEBIT NOTE,9c8d5d05471d5cb588229ed3f6de3a09, ,26.54,0.0
76,5 Oct 2020,5 Oct 2020,DEBIT NOTE,0f305e83ccf135b285332f668670cfcc, ,25.51,0.0
77,5 Oct 2020,5 Oct 2020,DEBIT NOTE,3223e44be47b0d82a29080c5f2bd921b,411084,9070.34,0.0
78,5 Oct 2020,5 Oct 2020,C/A ATM/TB BILL PAYMENT DT,d07f74917c06018424f78e1d11fded25,318364,169.5,0.0
79,5 Oct 2020,5 Oct 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,318184,1184.0,0.0
80,2 Oct 2020,2 Oct 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,154952,0.56,0.0
81,2 Oct 2020,2 Oct 2020,DEBIT NOTE,87608094ef57e7be6d5c9f1595a7626b,154952,535.0,0.0
82,1 Oct 2020,1 Oct 2020,CUSTOMER DEPOSIT,dc8c04ed312a6b6151ee02c18ed690f2,1152247,0.0,1454.0
83,1 Oct 2020,1 Oct 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,39472,0.56,0.0
84,1 Oct 2020,1 Oct 2020,DEBIT NOTE,7b00394333c502e7559b689989b43a6c,39472,30.0,0.0
85,30 Sep 2020,30 Sep 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
86,30 Sep 2020,30 Sep 2020,C/A ATM/TB TRANSFER CR,4524b0296f7e8c3dffe1646d51ee7a36,994377,0.0,565.0
87,30 Sep 2020,30 Sep 2020,C/A ATM/TB TRANSFER CR,fcb8c7b3e7bfe750c08dabac583eb01c,928147,0.0,4300.0
88,30 Sep 2020,30 Sep 2020,DEBIT NOTE,ca0c45c3d7206b85dd73a06243cd7c17,900001,90.01,0.0
89,30 Sep 2020,30 Sep 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,902869,2500.0,0.0
90,29 Sep 2020,29 Sep 2020,CUSTOMER DEPOSIT,a1e1d88bb8a38b9b0239589d0a91dcbf,1111111,0.0,975.0
91,29 Sep 2020,29 Sep 2020,CUSTOMER DEPOSIT,bbc65683e9f8a45d95e036f31a2591b0,1111111,0.0,2290.0
92,28 Sep 2020,28 Sep 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,559519,0.56,0.0
93,28 Sep 2020,28 Sep 2020,DEBIT NOTE,ebb2a73d646a715530fb04e8446f3d32,559519,998.4,0.0
94,25 Sep 2020,25 Sep 2020,C/A ATM/TB TRANSFER CR,e182e1e30e928e3fdf25159cbe7ed976,448329,0.0,2750.0
95,25 Sep 2020,25 Sep 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,388606,0.56,0.0
96,25 Sep 2020,25 Sep 2020,DEBIT NOTE,b319149707637140161acc0515d7a68c,388606,2187.32,0.0
97,25 Sep 2020,25 Sep 2020,CREDIT NOTE,d511aedb26173d7c421df3de518075eb,247676,0.0,2071.3
98,24 Sep 2020,24 Sep 2020,CUSTOMER DEPOSIT,f5bf546a5850deb09f4b239e7d0f1c8f,838389,0.0,800.0
99,24 Sep 2020,24 Sep 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,278831,0.56,0.0
100,24 Sep 2020,24 Sep 2020,DEBIT NOTE,9e04c1b8bd8dc3efb2aa53f78dacd5fb,278831,131.0,0.0
101,21 Sep 2020,21 Sep 2020,C/A ATM/TB TRANSFER CR,68841004259558687ff7c9bdc73c9cb8,966701,0.0,100.0
102,7 Sep 2020,7 Sep 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,714008,100.0,0.0
103,4 Sep 2020,4 Sep 2020,DEBIT NOTE,2e63db0857aab2d5a28c903a15461b3a,561308,0.56,0.0
104,4 Sep 2020,4 Sep 2020,DEBIT NOTE,e16ae72e75e51f70c4068d6412ab56ed,561308,94.0,0.0
105,3 Sep 2020,3 Sep 2020,CUSTOMER DEPOSIT,13f34a86ddcb9fc3a2d7450e96467d11,1111111,0.0,1454.0
106,31 Aug 2020,31 Aug 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
107,31 Aug 2020,31 Aug 2020,C/A ATM/TB TRANSFER CR,e592a831237a18db60f994e3d636fe9e,149863,0.0,565.0
108,28 Aug 2020,28 Aug 2020,C/A ATM/TB BILL PAYMENT DT,c4ce12f76c7fc4c35b577f1007abce62,8921420,3.52,0.0
109,27 Aug 2020,27 Aug 2020,C/A ATM/TB TRANSFER CR,128636ec0baca47f0ec223f330ebd8d5,744623,0.0,335.0
110,27 Aug 2020,27 Aug 2020,C/A ATM/TB TRANSFER CR,608a7ffdcbe92f0b8c96078d0eec978e,744518,0.0,4300.0
111,27 Aug 2020,27 Aug 2020,CUSTOMER DEPOSIT,d2769b616ddad02ce1e10e81b8b1f442,1111111,0.0,2290.0
112,26 Aug 2020,26 Aug 2020,C/A ATM/TB BILL PAYMENT DT,d8fb553a9236482ee8be73a821fc2660,624379,377.0,0.0
113,26 Aug 2020,26 Aug 2020,C/A ATM/TB BILL PAYMENT DT,c04ffe87a417a6bf6418af9e07054f9e,623859,2187.32,0.0
114,25 Aug 2020,25 Aug 2020,C/A ATM/TB TRANSFER CR,0bae43cefe62c6fbab7aa42d2d40fbaf,500140,0.0,1050.0
115,25 Aug 2020,25 Aug 2020,CREDIT MEMO,d3141a1d19910f6478eef0a4ef651673,339348,0.0,202.0
116,24 Aug 2020,24 Aug 2020,CREDIT MEMO,1ef19cd992af9fdf0ac649d202305c57,337660,0.0,500.0
117,24 Aug 2020,24 Aug 2020,C/A ATM/TB TRANSFER CR,77e9b9f307d065d1805641481bd47e64,379508,0.0,730.0
118,24 Aug 2020,24 Aug 2020,CUSTOMER DEPOSIT,f5bf546a5850deb09f4b239e7d0f1c8f,838394,0.0,130.0
119,24 Aug 2020,24 Aug 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,305536,1800.0,0.0
120,24 Aug 2020,24 Aug 2020,CREDIT NOTE,9dc69bdfb5e2c74bf437546578a8eb0f,251729,0.0,1977.15
121,18 Aug 2020,18 Aug 2020,C/A ATM/TB BILL PAYMENT DT,c16bcff623cd83d9b397ec2d9dc91558,940333,657.88,0.0
122,18 Aug 2020,18 Aug 2020,C/A ATM/TB TRANSFER CR,81df503171716c6ad496c5fc83a8846c,938882,0.0,657.88
123,18 Aug 2020,18 Aug 2020,C/A ATM/TB BILL PAYMENT DT,7a4b21c94d0d327b0b62e6dde5e1390f,883636,30.0,0.0
124,18 Aug 2020,18 Aug 2020,C/A ATM/TB BILL PAYMENT DT,9e3916f366dd51661026910a537fad11,883513,131.0,0.0
125,12 Aug 2020,12 Aug 2020,C/A ATM/TB TRANSFER CR,426217bfc9a3d11f3f578eb2018fdff6,381178,0.0,315.0
126,7 Aug 2020,7 Aug 2020,DEBIT NOTE,b7ceb20a11ed366a492ed7bcea2047e5, ,26.54,0.0
127,7 Aug 2020,7 Aug 2020,DEBIT NOTE,1706eb2c1a8dc98cc553664b8b0b901f, ,28.49,0.0
128,7 Aug 2020,7 Aug 2020,DEBIT NOTE,e12da31b04db26c4823c9b9582abd7a7,314779,10130.34,0.0
129,7 Aug 2020,7 Aug 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,958940,595.0,0.0
130,6 Aug 2020,6 Aug 2020,CUSTOMER DEPOSIT,1a0d2581444def574d4603a3bdcf6f04,1111111,0.0,200.0
131,6 Aug 2020,6 Aug 2020,C/A ATM/TB TRANSFER CR,d6cbbef08dbef0cd526f752b28bc5e78,846262,0.0,4300.0
132,4 Aug 2020,4 Aug 2020,C/A ATM/TB TRANSFER CR,be199e0bfdc43ddaf36f81a770e481c8,623012,0.0,335.0
133,31 Jul 2020,31 Jul 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
134,31 Jul 2020,31 Jul 2020,C/A ATM/TB TRANSFER CR,dc1118ddb0bf3794e2c72b8ed9f7c98a,347313,0.0,300.0
135,30 Jul 2020,30 Jul 2020,C/A ATM/TB BILL PAYMENT DT,5c035017a8e5920056b3229cec3ebb26,8233651,5.87,0.0
136,30 Jul 2020,30 Jul 2020,C/A ATM/TB BILL PAYMENT DT,c62c9a335cf075eea2376fdff0ff217a,233540,83.0,0.0
137,30 Jul 2020,30 Jul 2020,CUSTOMER DEPOSIT,c34710d4e3c1da0c7dd53d26a22b0595,1111111,0.0,2290.0
138,30 Jul 2020,30 Jul 2020,CUSTOMER DEPOSIT,dc8c04ed312a6b6151ee02c18ed690f2,1111111,0.0,1454.0
139,29 Jul 2020,29 Jul 2020,C/A ATM/TB BILL PAYMENT DT,8e3156364d588c4b8a1d1f5a7796b910,100205,94.0,0.0
140,29 Jul 2020,29 Jul 2020,C/A ATM/TB TRANSFER CR,19fa7a24d7d01f5056231c32d4c2a6bd,23630,0.0,94.0
141,27 Jul 2020,27 Jul 2020,CREDIT NOTE,994af7c84d6afc0c8dac72fcc20466cf,836409,0.0,2165.45
142,27 Jul 2020,27 Jul 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,750445,1000.0,0.0
143,27 Jul 2020,27 Jul 2020,C/A ATM/TB BILL PAYMENT DT,94379537bae6ab78ce156929619bceba,737973,2275.4,0.0
144,27 Jul 2020,27 Jul 2020,C/A ATM/TB BILL PAYMENT DT,626facfefdc1746e7d6a1b9838581dfa,737958,2187.32,0.0
145,21 Jul 2020,21 Jul 2020,C/A ATM/TB BILL PAYMENT DT,ebc1421dbcb8c0d7fdbd5f8a4ba82e0b,293789,30.0,0.0
146,20 Jul 2020,20 Jul 2020,C/A ATM/TB BILL PAYMENT DT,d0ca39df5f08cbdd9c5c3e893beb4a61,158601,135.9,0.0
147,16 Jul 2020,16 Jul 2020,CUSTOMER DEPOSIT,f5bf546a5850deb09f4b239e7d0f1c8f,834537,0.0,65.0
148,14 Jul 2020,14 Jul 2020,DEBIT NOTE,751aae47114177be4138763653cdf4b0, ,26.54,0.0
149,14 Jul 2020,14 Jul 2020,DEBIT NOTE,176feb3cda6382c74f669bffb5c88987, ,26.76,0.0
150,14 Jul 2020,14 Jul 2020,DEBIT NOTE,2d833f824063edbd79fd6173abf34a51,273425,9515.34,0.0
